entryDate,exitDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,reason,buyReason,win
2016-06-27,2017-04-28,sigma1_weekly_1lot,1,,,,1,95.49,127.9973,29.8467,0.2454,23.85,17.4713,5.6926,23.164,90,1849.4165,4113.2108,159.9459,203.6278,0,-43.6818,4069.529,2220.1125,1.200439,305,take_profit_120_before_12m,"RSI(14) 29.8467 < 35; VIX 23.85 >= 23.164; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-02-05,2019-02-25,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,149.8714,165.8577,34.9854,0.15,37.32,16.2357,5.6202,27.476,146,1930.0028,3083.3695,420.0215,0,18.8659,401.1557,3484.5252,1554.5223,0.805451,385,take_profit_80_12_to_15m,"RSI(14) 34.9854 < 35; VIX 37.32 >= 27.476; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2018-02-08,2019-03-13,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,145.4451,169.1936,32.6322,0.1535,33.46,16.2594,5.6461,27.5516,141,3876.5251,7303.5799,1010.186,999.7742,181.466,-171.0542,7132.5257,3256.0007,0.839928,398,take_profit_80_12_to_15m,"RSI(14) 32.6322 < 35; VIX 33.46 >= 27.5516; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2018-03-23,2019-03-25,sigma1_weekly_1lot,1,,,,1,150.4848,170.6602,33.0977,0.173,24.87,16.3105,5.6293,21.9398,145,2200.7973,3557.4498,446.9357,0,0,446.9357,4004.3855,1803.5883,0.819516,367,take_profit_60_12_to_15m,"RSI(14) 33.0977 < 35; VIX 24.87 >= 21.9398; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-10-10,2019-10-10,sigma1_weekly_1lot,1,,,,1,163.6785,181.4412,24.7447,0.2082,22.96,16.1726,5.4993,21.6719,156,2775.2031,3681.4275,866.1095,0,97.4597,768.6497,4450.0772,1674.8741,0.603514,365,take_profit_60_12_to_15m,"RSI(14) 24.7447 < 35; VIX 22.96 >= 21.6719; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-10-24,2019-10-24,sigma1_weekly_1lot,1,,,,1,157.5881,186.6436,29.6174,0.2236,25.23,16.1962,5.4981,21.6943,149,2857.4003,4575.1592,867.8722,398.9792,96.3392,372.5538,4947.713,2090.3127,0.731544,365,take_profit_60_12_to_15m,"RSI(14) 29.6174 < 35; VIX 25.23 >= 21.6943; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-10-29,2019-10-29,sigma1_weekly_1lot,1,,,,1,155.5771,188.5188,32.9513,0.2283,24.7,16.2086,5.5031,21.7118,147,2861.7469,4858.1577,892.2684,0,48.0358,844.2326,5702.3902,2840.6434,0.992626,365,take_profit_60_12_to_15m,"RSI(14) 32.9513 < 35; VIX 24.7 >= 21.7118; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-12-19,2019-11-01,sigma1_weekly_1lot,1,,,,1,147.2849,191.2402,34.963,0.2599,25.58,16.2834,5.492,21.7753,138,3000.6968,5946.8889,794.1433,0,61.7313,732.412,6679.3009,3678.6041,1.225917,317,take_profit_120_before_12m,"RSI(14) 34.963 < 35; VIX 25.58 >= 21.7753; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-12-24,2019-11-04,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,2,137.1634,192.423,25.8177,0.2647,36.07,16.3061,5.5208,27.3477,128,5709.3953,13896.8953,1568.0571,797.9584,197.6724,572.4263,14469.3216,8759.9263,1.5343,315,take_profit_150_before_12m,"RSI(14) 25.8177 < 35; VIX 36.07 >= 27.3477; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2018-12-21,2019-11-04,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,140.6512,192.423,28.5585,0.2631,30.11,16.2963,5.5045,27.3053,132,5752.6043,13167.1227,1573.3454,0,197.6724,1375.673,14542.7957,8790.1914,1.528037,318,take_profit_150_before_12m,"RSI(14) 28.5585 < 35; VIX 30.11 >= 27.3053; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2018-11-20,2019-11-12,sigma1_weekly_1lot,1,,,,1,151.6979,193.8078,34.4672,0.2434,22.48,16.2372,5.4926,21.7299,143,2921.6821,5668.7719,832.0306,0,50.5823,781.4483,6450.2202,3528.538,1.207708,357,take_profit_120_before_12m,"RSI(14) 34.4672 < 35; VIX 22.48 >= 21.7299; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2018-12-20,2019-11-27,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,145.1499,198.1352,32.7186,0.2604,28.38,16.2894,5.4972,27.2839,136,2960.6712,6709.4415,841.0686,0,76.2733,764.7953,7474.2368,4513.5656,1.524508,342,take_profit_150_before_12m,"RSI(14) 32.7186 < 35; VIX 28.38 >= 27.2839; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2019-08-05,2020-06-05,sigma1_weekly_1lot,1,,,,1,173.4464,231.4861,29.7994,0.2586,24.59,16.2753,5.3945,21.6697,163,3497.4925,8196.5544,1229.9196,1285.3638,360.4275,-415.8717,7780.6826,4283.1901,1.224646,305,take_profit_120_before_12m,"RSI(14) 29.7994 < 35; VIX 24.59 >= 21.6697; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2020-03-12,2020-06-18,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,5,5,2,170.8867,235.919,29.0172,0.2788,75.47,16.349,5.6899,27.7288,159,7397.9487,19110.1713,1869.0966,1616.1835,852.4446,-599.5315,18510.6398,11112.6911,1.502131,98,take_profit_150_before_12m,"RSI(14) 29.0172 < 35; VIX 75.47 >= 27.7288; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2020-03-09,2020-06-22,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,4,2,186.5471,238.7092,31.0924,0.241,54.46,16.2937,5.4658,27.2253,176,7124.8525,17300.6982,1829.7393,832.7423,436.9847,560.0123,17860.7105,10735.858,1.506818,105,take_profit_150_before_12m,"RSI(14) 31.0924 < 35; VIX 54.46 >= 27.2253; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2020-02-28,2020-07-06,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,2,198.3334,249.98,27.3011,0.2035,40.11,16.2328,5.327,26.8868,189,6636.5654,17407.8484,2359.7115,1500.8545,1372.3572,-513.5002,16894.3482,10257.7828,1.545646,129,take_profit_150_before_12m,"RSI(14) 27.3011 < 35; VIX 40.11 >= 26.8868; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2020-02-27,2020-07-06,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,198.1792,249.98,27.0081,0.2036,39.16,16.2224,5.3049,26.8321,189,6615.6752,17400.2144,2357.9093,1500.8545,1372.3572,-515.3024,16884.9121,10269.2369,1.552258,130,take_profit_150_before_12m,"RSI(14) 27.0081 < 35; VIX 39.16 >= 26.8321; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2020-02-25,2020-07-10,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,207.5562,255.3784,34.0522,0.1936,27.85,16.2075,5.2803,26.768,198,3359.3339,8566.3288,1133.9105,418.2022,842.1708,-126.4625,8439.8662,5080.5324,1.512363,136,take_profit_150_before_12m,"RSI(14) 34.0522 < 35; VIX 27.85 >= 26.768; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2020-03-16,2020-07-14,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,6,6,2,163.1577,251.8956,31.8202,0.3327,82.69,16.3956,5.9153,28.2261,151,8007.9236,23035.0285,2080.6179,4652.3651,248.6648,-2820.4119,20214.6165,12206.6929,1.524327,120,take_profit_150_before_12m,"RSI(14) 31.8202 < 35; VIX 82.69 >= 28.2261; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2021-03-04,2022-09-06,sigma1_weekly_1lot,1,,,,1,294.7355,286.2962,34.3274,0.4242,28.57,17.6439,7.4771,25.121,274,8503.3763,3556.323,2933.5556,0,0,2933.5556,6489.8786,-2013.4978,-0.236788,551,force_exit_180d_to_expiry,"RSI(14) 34.3274 < 35; VIX 28.57 >= 25.121; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",false
2021-03-08,2022-09-09,sigma1_weekly_1lot,1,,,,1,290.7036,300.0127,34.0021,0.4237,25.47,17.6497,7.4771,25.1268,270,8391.1294,4758.6813,3169.2809,181.3995,436.4297,2551.4517,7310.133,-1080.9964,-0.128826,550,force_exit_180d_to_expiry,"RSI(14) 34.0021 < 35; VIX 25.47 >= 25.1268; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",false
2021-05-12,2022-11-14,sigma1_weekly_1lot,1,,,,1,307.5196,279.3628,34.0252,0.2821,27.59,17.6745,7.4189,25.0933,287,6660.6062,2826.6305,3054.2327,741.8488,975.5079,1336.876,4163.5065,-2497.0996,-0.374906,551,force_exit_180d_to_expiry,"RSI(14) 34.0252 < 35; VIX 27.59 >= 25.0933; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",false
2022-05-11,2023-05-17,sigma1_weekly_1lot,1,,,,1,284.567,325.349,32.4322,0.2832,32.56,17.9776,7.3105,25.2881,265,6208.9077,8135.0059,3795.6527,1535.1288,290.8678,1969.6561,10104.662,3895.7542,0.627446,371,take_profit_60_12_to_15m,"RSI(14) 32.4322 < 35; VIX 32.56 >= 25.2881; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-04-27,2023-05-18,sigma1_weekly_1lot,1,,,,1,308.8661,331.3917,33.6248,0.2612,31.6,17.9311,7.2795,25.2107,289,6333.8043,6942.3849,3763.3732,378.186,178.8004,3206.3867,10148.7716,3814.9673,0.602318,386,take_profit_60_12_to_15m,"RSI(14) 33.6248 < 35; VIX 31.6 >= 25.2107; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-05-09,2023-05-26,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,2,2,289.7448,342.3278,33.1418,0.2822,34.75,17.9672,7.3025,32.5723,270,12598.4324,18149.2002,7572.6361,1567.5293,1067.1657,4937.9411,23087.1413,10488.709,0.832541,382,take_profit_80_12_to_15m,"RSI(14) 33.1418 < 35; VIX 34.75 >= 32.5723; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2022-02-23,2023-05-26,sigma1_weekly_1lot,1,,,,1,320.814,342.3278,32.2349,0.243,31.02,17.8087,7.2426,25.0513,302,6194.8201,6415.1951,4184.8609,0,658.7733,3526.0877,9941.2828,3746.4627,0.604773,457,take_profit_30_16_to_18m,"RSI(14) 32.2349 < 35; VIX 31.02 >= 25.0513; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-01-24,2023-05-26,sigma1_weekly_1lot,1,,,,1,344.0701,342.3278,28.3738,0.2246,29.9,17.7464,7.2279,24.9744,325,6272.5955,4825.4058,4265.688,0,658.7733,3606.9147,8432.3205,2159.725,0.344311,487,take_profit_30_16_to_18m,"RSI(14) 28.3738 < 35; VIX 29.9 >= 24.9744; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-03-07,2023-06-07,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,316.3731,342.7404,34.8134,0.2402,36.45,17.8473,7.2695,32.3863,298,6055.2935,6649.0912,3986.8628,1217.2485,69.6185,2699.9958,9349.0869,3293.7934,0.543953,457,take_profit_30_16_to_18m,"RSI(14) 34.8134 < 35; VIX 36.45 >= 32.3863; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2022-03-08,2023-06-08,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,314.9026,346.995,34.1634,0.2358,35.13,17.8534,7.2755,32.4044,297,11875.8847,14092.7658,7984.6583,1567.5293,174.6688,6242.4602,20335.226,8459.3413,0.712313,457,take_profit_30_16_to_18m,"RSI(14) 34.1634 < 35; VIX 35.13 >= 32.4044; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2022-01-20,2023-06-09,sigma1_weekly_1lot,1,,,,1,352.2702,348.3215,31.0491,0.2222,25.59,17.7381,7.2238,24.9619,333,6365.7498,4568.7235,4261.0902,0,499.2937,3761.7965,8330.52,1964.7702,0.308647,505,take_profit_30_16_to_18m,"RSI(14) 31.0491 < 35; VIX 25.59 >= 24.9619; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-10-10,2023-06-13,sigma1_weekly_1lot,1,,,,1,260.7379,356.9288,34.5149,0.3591,32.45,18.2661,7.3675,25.6336,241,6751.2103,13135.9062,2925.2869,793.28,371.5076,1760.4993,14896.4055,8145.1952,1.206479,246,take_profit_120_before_12m,"RSI(14) 34.5149 < 35; VIX 32.45 >= 25.6336; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-06-14,2023-06-14,sigma1_weekly_1lot,1,,,,1,269.0341,359.5227,33.5279,0.3104,32.69,18.0556,7.3371,25.3928,250,6256.8367,12143.507,3725.3014,2390.683,0,1334.6184,13478.1255,7221.2888,1.154144,365,take_profit_60_12_to_15m,"RSI(14) 33.5279 < 35; VIX 32.69 >= 25.3928; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-09-26,2023-06-15,sigma1_weekly_1lot,1,,,,1,268.5284,363.8068,29.6177,0.353,32.26,18.2236,7.3432,25.5667,249,6834.4577,13022.9909,2967.306,378.186,378.2051,2210.9148,15233.9057,8399.4481,1.228985,262,take_profit_120_before_12m,"RSI(14) 29.6177 < 35; VIX 32.26 >= 25.5667; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-06-16,2023-06-16,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,2,2,264.6268,361.5174,33.9971,0.3152,32.95,18.0648,7.343,32.7508,246,12424.6897,25325.5313,7401.0568,1983.8928,452.3213,4964.8427,30290.374,17865.6843,1.437918,365,take_profit_80_12_to_15m,"RSI(14) 33.9971 < 35; VIX 32.95 >= 32.7508; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2022-10-12,2023-07-12,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,257.0678,366.8247,32.4298,0.3593,33.57,18.2765,7.3758,33.028,238,13280.6396,28222.1235,5926.0918,641.4063,0,5284.6856,33506.8091,20226.1694,1.522982,273,take_profit_150_before_12m,"RSI(14) 32.4298 < 35; VIX 33.57 >= 33.028; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2022-10-11,2023-07-12,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,257.1558,366.8247,32.4804,0.3593,33.63,18.2713,7.3717,33.0146,238,6646.5947,14107.8163,2963.9354,320.7031,0,2643.2323,16751.0486,10104.4539,1.520245,274,take_profit_150_before_12m,"RSI(14) 32.4804 < 35; VIX 33.63 >= 33.0146; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2022-09-21,2023-07-13,sigma1_weekly_1lot,1,,,,1,277.5228,373.0529,34.8195,0.3527,27.99,18.2118,7.3372,25.549,257,7075.4008,13010.2878,3219.8334,0,163.9817,3055.8517,16066.1395,8990.7387,1.270704,295,take_profit_120_before_12m,"RSI(14) 34.8195 < 35; VIX 27.99 >= 25.549; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-09-06,2023-09-06,sigma1_weekly_1lot,1,,,,1,286.2962,368.7139,33.4322,0.3437,26.91,18.184,7.3363,25.5203,265,7178.3524,11577.3617,3651.5073,783.7646,0.0283,2867.7144,14445.0761,7266.7237,1.012311,365,take_profit_60_12_to_15m,"RSI(14) 33.4322 < 35; VIX 26.91 >= 25.5203; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2024-08-06,2025-07-03,sigma1_weekly_1lot,1,,,,1,435.4464,554.1622,33.4584,0.2038,27.71,18.0948,7.0566,25.1514,414,7344.2689,16546.9365,1526.4779,1697.1863,32.9306,-203.6389,16343.2976,8999.0287,1.225313,331,take_profit_120_before_12m,"RSI(14) 33.4584 < 35; VIX 27.71 >= 25.1514; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2025-04-03,2025-07-25,sigma1_weekly_1lot,1,,,,1,448.4891,564.2747,31.7204,0.2453,30.02,18.0925,6.9283,25.0208,422,8721.5223,18241.1002,1178.8238,0,156.2695,1022.5543,19263.6545,10542.1322,1.208749,113,take_profit_120_before_12m,"RSI(14) 31.7204 < 35; VIX 30.02 >= 25.0208; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2024-08-05,2025-08-05,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,431.325,558.1973,30.2739,0.2036,38.57,18.092,7.0557,32.2034,410,7275.6013,16882.6682,1888.304,2058.9203,0,-170.6163,16712.0519,9436.4506,1.296999,365,take_profit_80_12_to_15m,"RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2025-04-07,2025-09-12,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,421.649,584.4896,25.0236,0.2565,46.98,18.1082,6.958,32.0242,395,17048.5648,43172.0474,3670.0131,3394.3726,632.4115,-356.7709,42815.2765,25766.7118,1.511371,158,take_profit_150_before_12m,"RSI(14) 25.0236 < 35; VIX 46.98 >= 32.0242; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2025-03-10,2025-09-12,sigma1_weekly_1lot,1,,,,1,469.7523,584.4896,28.5145,0.2299,27.86,18.0751,6.9377,25.0129,443,8723.8908,17658.4543,2056.8326,0,338.9083,1717.9242,19376.3785,10652.4877,1.221071,186,take_profit_120_before_12m,"RSI(14) 28.5145 < 35; VIX 27.86 >= 25.0129; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2025-04-08,2025-09-15,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,2,414.0558,589.4911,23.3233,0.257,52.33,18.1177,6.9805,32.0786,388,16750.6074,45220.805,3649.7476,6187.5793,699.1705,-3237.0022,41983.8027,25233.1953,1.506405,160,take_profit_150_before_12m,"RSI(14) 23.3233 < 35; VIX 52.33 >= 32.0786; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2025-04-04,2025-09-15,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,420.634,589.4911,24.3389,0.2571,45.31,18.1001,6.9422,31.9846,394,8519.5901,22090.6274,1832.9976,2058.9203,322.5383,-548.461,21542.1664,13022.5762,1.528545,164,take_profit_150_before_12m,"RSI(14) 24.3389 < 35; VIX 45.31 >= 31.9846; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
